nomor_kelurahan;nama_kelurahan;laki_laki;perempuan;jumlah_penduduk;jumlah_luas_wilayah_(km2);jumlah_kepadatan_(jiwa/km2);umur_15-19;umur_20-24;umur_25-29;umur_30-34;umur_35-39;umur_40-44;Economic_status;persentase_umur_15_34
317471009;GANDARIA UTARA;22912;22940;45852;152;3193266259;3781;3412;3352;3815;2384;4138;6;0.313181541
317551001;GEDONG;20465;20122;40587;263;1698785118;3426;1811;1913;2041;4010;3645;2;0.22645182
317171001;GELORA;2028;2062;4090;259;1519700536;284;280;302;306;341;374;5;0.286552567
317331007;GLODOK;4226;4479;8705;38;2410638298;538;556;635;699;782;650;3;0.278920161
317161004;GONDANGDIA;2386;2664;5050;146;3356192566;332;333;356;389;366;375;5;0.279207921
317321001;GROGOL;9894;9850;19744;122;1682968648;1470;1438;1533;1725;1890;1652;3;0.312297407
317451005;GROGOL SELATAN;25739;24910;50649;29;1910890052;4284;2150;3983;4316;4909;4590;6;0.290884322
317451004;GROGOL UTARA;25098;24420;49518;333;1584691729;4148;3786;3819;4246;4899;4499;6;0.323094632
317421007;GUNTUR;2289;2360;4649;66;7080679406;310;351;307;353;383;403;6;0.284147128
317471002;GUNUNG;5309;5340;10649;132;8544217687;890;868;811;835;850;849;6;0.319654428
317131005;GUNUNG SAHARI SELATAN;12275;11961;24236;153;1617962116;1971;1779;1696;1906;2048;1853;5;0.303350388
317121004;GUNUNG SAHARI UTARA;10163;10399;20562;19;1094796225;1585;1559;1410;1475;1600;1661;5;0.293210777
317581004;HALIM PERDANA KUSUMAH;17229;16530;33759;1307;2720358113;1879;1708;2811;2916;2914;2981;2;0.275896798
317131003;HARAPAN MULIA;14487;14032;28519;53;5501028999;2294;2109;2194;2392;2641;2343;5;0.31519338
317491001;JAGAKARSA;34202;33526;67728;485;1598783505;6045;5414;5661;6037;7294;6448;6;0.341911765
317521007;JATI;18905;19370;38275;216;1857308585;1468;2761;2645;2965;3417;3445;2;0.257060745
317441002;JATI PADANG;21474;21433;42907;25;1869159627;3598;3220;2005;3807;4349;3950;6;0.294357564
317371004;JATI PULO;16879;16559;33438;88;4113127854;2764;1468;2705;2917;3294;2839;3;0.294694659
317561001;JATINEGARA;49957;47051;97008;66;1628147025;8007;7371;8232;9358;11148;9584;2;0.33984826
317521004;JATINEGARA KAUM;14475;13757;28232;123;2520129607;1146;2308;2328;2537;2815;2495;2;0.294665628
317321004;JELAMBAR;17023;17242;34265;144;2537204956;2581;2333;2419;3167;1962;3225;3;0.306435138
317321006;JELAMBAR BARU;21925;21661;43586;14;3260987483;3184;2915;3287;2193;4890;2263;3;0.265658698
317341006;JEMBATAN BESI;18362;16686;35048;55;667926234;2766;2718;3059;1931;3827;3097;3;0.298847295
317341008;JEMBATAN LIMA;12687;12011;24698;46;5586698337;1881;1897;2087;2319;2492;2055;3;0.331362863
317381005;JOGLO;22347;22094;44441;486;1054167524;1942;3452;3677;4274;4928;4134;3;0.300285772
317181001;JOHAR BARU;22864;22868;45732;119;3950713686;3890;1793;3365;1919;4069;3840;5;0.239810199
317341002;KALI ANYAR;14855;13719;28574;32;9452515723;1266;2135;2503;2807;3035;2552;3;0.304857563
317241004;KALI BARU;43344;41418;84762;247;3592298338;7221;3780;7291;4207;8487;7023;4;0.265437342
317481002;KALIBATA;24209;23863;48072;229;2300349956;3950;3568;2022;2391;4939;4448;6;0.248190215
317361001;KALIDERES;40559;39376;79935;571;15892829;6971;6776;4030;4256;8584;7520;3;0.275636455
317551004;KALISARI;24053;23550;47603;289;1861737779;4334;2285;4436;4387;4598;3989;2;0.32439132
317361004;KAMAL;29486;27983;57469;49;1401493055;5333;5106;5487;5956;6500;5314;3;0.380761802
317211002;KAMAL MUARA;6961;6728;13689;1053;1539206379;1197;1088;1189;1302;1503;1204;4;0.348893272
317171007;KAMPUNG BALI;7567;7429;14996;73;2023705722;1289;1078;1085;1105;1219;1130;5;0.303881035
317531001;KAMPUNG MELAYU;15802;14870;30672;48;6779845285;2525;2376;2529;2744;2911;2353;2;0.331703182
317181002;KAMPUNG RAWA;14047;13351;27398;3;9107937562;1257;2081;2087;2346;2435;2294;5;0.283633842
317541002;KAMPUNG TENGAH;25304;24515;49819;203;2758838633;4309;4070;2406;4567;4910;4398;2;0.308155523
317311005;KAPUK;79292;75521;154813;563;3049957347;6980;12281;13881;15421;17151;14018;3;0.313688127
317211003;KAPUK MUARA;19630;18979;38609;1006;4428741919;3244;1629;3259;3903;4225;3432;4;0.311714885
317121002;KARANG ANYAR;16997;16536;33533;51;648258317;1366;2349;2463;2807;3054;2684;5;0.267945009
317421004;KARET;5880;5733;11613;94;1248211043;873;814;813;891;1075;1034;6;0.292000344
317421003;KARET KUNINGAN;9373;9251;18624;179;1103409726;1417;1418;1475;1659;1843;1694;6;0.32050043
317421002;KARET SEMANGGI;1526;1490;3016;9;3687493039;236;220;220;297;290;286;6;0.322612732
317171003;KARET TENGSIN;12151;11594;23745;153;159551587;1937;1764;1632;1989;2378;2099;5;0.308359655
317121003;KARTINI;13960;14211;28171;57;4934330986;2232;2058;2000;2223;2454;2239;5;0.302190196
317511003;KAYU MANIS;14965;15058;30023;58;5436284722;2459;2211;2249;2431;2735;1399;2;0.311427905
317521006;KAYU PUTIH;23532;23583;47115;437;1141942125;3596;1810;3514;3993;2439;2461;2;0.274074074
317331006;KEAGUNGAN;10614;9942;20556;32;673929471;1551;1557;1674;1848;1965;1814;3;0.322533567
317441007;KEBAGUSAN;25147;24453;49600;226;2476548673;4170;4082;4294;2589;5189;4636;6;0.305141129
